time,total_patches,W_0,W_1,W_2
0.0,100,0.0,0.0,0.0
1.01488935892602,52,0.974319956259065,0.02568004374093507,0.0
1.6204835957747312,43,0.8760492965312143,0.12395070346878588,0.0
2.0112308644799395,40,0.7903184826281011,0.20968151737189877,0.0
5.03415152430165,40,0.24277463025494972,0.757225369745051,0.0
6.009689220689674,35,0.1364808393283585,0.8635191606716417,0.0
10.008486697790046,73,0.03564604008268828,0.9185891968578662,0.04576476305944514
12.473660374607979,159,0.07224124079832958,0.8274953057860792,0.10026345341559027
14.649140421431772,246,0.047696132003547276,0.7977213477519697,0.15458252024448396
16.557132061648097,313,0.022301572717682103,0.7929941510552466,0.18470427622707156
18.265318337924448,434,0.02805246844485374,0.7738810753151666,0.19806645623997912
19.507535919176103,545,0.023704426892194107,0.769876247322583,0.20641932578522157
20.000379647382413,593,0.02168674429670225,0.7680398484941027,0.2102734072091958
20.469714891202237,671,0.020771322639948856,0.7671147528936342,0.21211392446641658
21.134358376792946,916,0.02350088431296742,0.7598943124869133,0.21660480320011502
21.87297489488126,1002,0.02365368731219835,0.7439800943521263,0.23236621833567245
22.47444870968023,1125,0.02122004910748346,0.7344243638652195,0.24435558702729648
23.054246860354027,1207,0.021022674598310514,0.7286360280066226,0.2503412973950616
23.553193384601688,1392,0.020951732077558856,0.7223302586370853,0.256718009285353
23.98653468309928,1481,0.020844065698307154,0.7192152190974757,0.2599407152042228
24.445414265204185,1589,0.020796799721692488,0.7180374162269401,0.26116578405136687
24.806138903195425,1845,0.020080203039711926,0.7151959866347363,0.26472381032555115
25.118805028951034,1978,0.020463339680877383,0.7108039479877564,0.26873271233136775
25.40544064564896,2094,0.020017716475377027,0.7102506859125938,0.26973159761202475
25.680613193629153,2220,0.019580393191556952,0.7081372526826373,0.27228235412580004
25.922482336268967,2340,0.020888200954603954,0.7038387951199199,0.27527300392547854
26.185497459911808,2366,0.02148255522684506,0.703054948215357,0.2754624965577958
26.497483310791935,2472,0.021963583928353247,0.7026140444497256,0.2754223716219201
26.75585633560448,2535,0.019986294112320096,0.7034483274637924,0.27656537842389356
27.03999090058924,2725,0.020022799096778503,0.7015790815565642,0.27839811934666664
27.258738898425392,2967,0.02063851674041685,0.6976375767008273,0.2817239065587501
27.489329101551004,3086,0.02203452663769862,0.6952090426994848,0.28275643066281053
27.704068406276022,3227,0.022054898784009618,0.6949149162675715,0.28303018494840565
27.908027525135132,3327,0.022159044505273406,0.6951977733231164,0.2826431821716056
28.05517894711639,3514,0.021381338682306572,0.693745712526082,0.28487294879161645
28.241785252502897,3654,0.02205372589192873,0.6924542335011671,0.28549204060691435
28.386613529192914,3775,0.022617085983140325,0.6915030218667262,0.28587989215013987
28.528320070167943,3950,0.02267749092412729,0.6900790726453322,0.28724343643054423
28.669974176030646,4122,0.02208385595987765,0.6904755345611965,0.2874406094789297
28.823166011866704,4289,0.02164850753417094,0.6901364499368206,0.28821504252901226
28.96363569515018,4399,0.022226963880031498,0.6892667889662977,0.28850624715367645
29.113854032476375,4487,0.023086470779406523,0.6881641908424099,0.2887493383781838
